Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
01/06/2009;1;28.69;0.62;-0.15;156.99;200;0;-0.031;1.13;75;21;52;0;0;0;1;0;1;0;1;0;0;0;0
02/06/2009;0;20.92;-0.34;0.61;1288.56;26;0;-0.02;2.45;62;30;69;0;0;0;1;0;1;0;1;0;0;0;0
03/06/2009;0;23.96;-0.19;-0.54;-486.77;-45;0;-0.029;0.2;31;42;0;0;0;0;0;0;1;0;1;0;0;0;0
04/06/2009;1;28.38;0.31;-1.08;-1912.89;61;0;0.041;-2.29;80;69;0;0;1;1;0;1;0;0;0;0;0;0;0
05/06/2009;0;17.82;0.59;0.73;1377.27;32;0;-0.025;2.83;81;52;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2009;0;20.2;-0.32;-0.09;-122.89;-3;0;0.022;-0.37;51;50;0;0;0;0;0;0;1;0;0;0;0;0;0
09/06/2009;0;16.4;0.01;-0.07;289.38;-17;0;0.001;-0.46;62;85;0;0;1;0;0;0;0;0;0;1;0;0;0
10/06/2009;1;15.96;0.33;-0.29;-473.26;12;0;-0.019;1.74;82;49;0;0;1;0;0;0;0;1;0;0;0;0;0
12/06/2009;1;20.09;0.21;0.29;253.8;39;-1;0.002;0.99;96;52;0;0;0;0;0;0;0;0;1;0;0;0;0
15/06/2009;0;16.95;-0.35;0.05;147.3;-171;0;-0.024;-0.87;37;63;0;1;0;0;1;0;0;0;0;0;0;0;0
16/06/2009;0;24.34;0.31;-0.5;-1524.41;-105;0;0.025;-1.48;78;49;0;0;0;0;0;0;0;0;0;1;0;0;0
17/06/2009;0;16.59;-0.24;-0.58;-828.04;-21;0;0.022;0.8;70;0;70;0;1;0;0;1;0;1;0;0;0;0;0
18/06/2009;0;20.48;0.07;-0.38;-159.94;57;0;-0.004;0.61;62;100;0;0;1;0;0;1;0;1;1;0;0;0;0
19/06/2009;1;13.76;0.32;-0.23;-142.82;58.2;0;0.009;0.21;78;0;0;0;1;0;0;1;0;0;1;0;0;0;0
22/06/2009;0;12.04;-0.19;0.15;470.75;-325.2;0;-0.004;-1.87;66;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23/06/2009;1;19.89;0.1;-0.84;-1878.97;-26;0;0.055;-2.21;62;48;0;0;0;0;0;0;0;0;0;1;0;0;0
